epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2916.03,0.71959,0.52669,1.13531,0.87552,0.8245,0.86623,0.66142,0.90082,0.62297,1.23676,0.0003962,0.0003962,0.0003962
83,2950.88,0.72052,0.52554,1.12562,0.86856,0.80842,0.85687,0.65459,0.90581,0.63554,1.23794,0.0003764,0.0003764,0.0003764
84,2985.88,0.71109,0.51754,1.12968,0.88655,0.80645,0.85807,0.65425,0.90457,0.63927,1.23507,0.0003566,0.0003566,0.0003566
85,3020.79,0.72056,0.52618,1.12637,0.88714,0.79783,0.85836,0.65874,0.89015,0.63762,1.22736,0.0003368,0.0003368,0.0003368
86,3055.81,0.71031,0.5158,1.12419,0.87737,0.80685,0.86068,0.65695,0.91088,0.63869,1.23627,0.000317,0.000317,0.000317
87,3090.56,0.70784,0.5071,1.12489,0.88597,0.79772,0.86232,0.6596,0.89929,0.6353,1.23559,0.0002972,0.0002972,0.0002972
88,3125.35,0.70305,0.5132,1.11543,0.87895,0.80527,0.86074,0.65995,0.88483,0.62117,1.22912,0.0002774,0.0002774,0.0002774
89,3160.25,0.69563,0.50071,1.11437,0.8803,0.80999,0.86123,0.66184,0.89437,0.62441,1.23159,0.0002576,0.0002576,0.0002576
90,3195.32,0.69971,0.50599,1.1216,0.88702,0.80134,0.86201,0.66438,0.88956,0.62824,1.22313,0.0002378,0.0002378,0.0002378
91,3235.27,0.63226,0.42029,1.10049,0.86885,0.81039,0.85707,0.65528,0.89073,0.63545,1.2294,0.000218,0.000218,0.000218
92,3269.53,0.62325,0.39755,1.09551,0.88555,0.80094,0.86196,0.66526,0.88294,0.62461,1.22647,0.0001982,0.0001982,0.0001982
93,3303.86,0.61489,0.38464,1.08188,0.89095,0.80033,0.85847,0.6585,0.89026,0.62824,1.23038,0.0001784,0.0001784,0.0001784
94,3338.57,0.60103,0.38042,1.07238,0.8987,0.79386,0.85925,0.66309,0.88848,0.62277,1.2301,0.0001586,0.0001586,0.0001586
95,3373,0.60703,0.3755,1.07484,0.89348,0.79522,0.85682,0.66302,0.88342,0.61769,1.22713,0.0001388,0.0001388,0.0001388
96,3407.7,0.60035,0.37551,1.07328,0.89458,0.7978,0.85725,0.66169,0.88491,0.62328,1.22499,0.000119,0.000119,0.000119
97,3442.53,0.59933,0.36988,1.07093,0.88617,0.80724,0.85838,0.66382,0.88637,0.62451,1.22719,9.92E-05,9.92E-05,9.92E-05
98,3477.16,0.59207,0.36612,1.0742,0.89072,0.80566,0.85949,0.66527,0.88612,0.6258,1.22664,7.94E-05,7.94E-05,7.94E-05
99,3511.93,0.59427,0.35872,1.06888,0.89274,0.80252,0.85935,0.66578,0.88494,0.62257,1.22665,5.96E-05,5.96E-05,5.96E-05
100,3546.69,0.5825,0.36141,1.06157,0.89132,0.80339,0.85993,0.66517,0.88305,0.62253,1.22608,3.98E-05,3.98E-05,3.98E-05
